"reviewer_name","reviewer_rating","reviewer_date","reviewer_review","reviewer_ContributorLevel","reviewer_HelpfulVotes"
"WWWong39","ui_bubble_rating bubble_50","Date of experience: September 2018","My husband and I stayed at Hotel Müller, Hohenschwangau. It is part of the 3-day Romantic Road Independent Tour from Frankfurt to Munich. The hotel staff arranged two ticket for us. You could either walk (20 minutes), rode a bus or rode a horse drawn...More","Level 4 Contributor","1 Helpful vote"
"Camellya_R","ui_bubble_rating bubble_50","Date of experience: April 2018","This is a must to see, the fairy tale castle in Bavaria.. After a nice walk up on the mountain you will meet this majestic ""schloss""","Level 1 Contributor","1 Helpful vote"
"Mary S","ui_bubble_rating bubble_20","Date of experience: March 2019","Schloss Neuschwanstein is set in breathtaking scenery, it's a pity the experience did not live up to it. The groups were too big. The tour was only for 20 minutes, if that. There was no opportunity to stop and look. We acknowledge that restoration work...More","Level 1 Contributor","1 Helpful vote"
"34ruxandrat","ui_bubble_rating bubble_40","Date of experience: March 2019","The surroundings are very beautiful and Neuschwanstein Castle is worth a visit if you are in the area. The castle itself is very pretty but the paid tour is too expensive for what it offers. Bare in mind it is a big tourist attraction and...More","Level 3 Contributor","1 Helpful vote"
"thejk2019","ui_bubble_rating bubble_50","Date of experience: March 2019","Neuschwanstein is one of the mist famous tourist attractions in Bavaria, so don't forget to reserve your ticket online. Reserved tickets have to be picked up in time! King Ludwig the 2nd is called the king of farytales for a reason. Growing up in castle...More","Level 3 Contributor","2 Helpful votes"
"BetsyBtravelin","ui_bubble_rating bubble_40","Date of experience: March 2019","Neuschwanstein and Hohenschwangau are within walking distance of each other and tours are by timed ticket. Our hotel (Das Konig Ludwig) arranged the tickets for us in advance so we were able to get them at the centrally located ticket center. I had searched for...More","Level 4 Contributor","28 Helpful votes"
"Tomoko A","ui_bubble_rating bubble_30","Date of experience: March 2019","Worth visiting place at least once in the life. Everything was very well organized to deal with a number of tourists. But from the tourists' side, there were some complaints. The explanation in the castle was rather monotonous. We couldn't stay each places as long...More","Level 1 Contributor","28 Helpful votes"
"pfiffikus2018","ui_bubble_rating bubble_50","Date of experience: March 2019","Great place to visit! A must see! Nevertheless it is better to plan your trip in advance. It can be a very crowded place. If you get your ticket in advance and be there in time you will have a fantastic day. It is a...More","Level 3 Contributor","7 Helpful votes"
"Denise0510","ui_bubble_rating bubble_50","Date of experience: April 2018","It is not so much as the castle itself, exquisite as it is, but the location! Believe me. All the pictures you see while deciding if it is worth a visit are not photoshoped! lol","Level 4 Contributor","10 Helpful votes"
"tonyav124","ui_bubble_rating bubble_40","Date of experience: March 2019","This is the top site in Germany so be prepared for crowds. If you are not going as a tour group I recommend getting your tickets early and being on time at the gate! You have 4 min. To enter with your group and then...More","Level 6 Contributor","34 Helpful votes"
"RitaL23","ui_bubble_rating bubble_10","Date of experience: March 2019","First of all, ticket system is way too complicated, nothing for a spontaneous trip. Prices are too expensive for what we could see, since most of the castle was covered in construction, only one tour to be visited. All tour guides are absolutely unfriendly, they...More","Level 4 Contributor","4 Helpful votes"
"TuristaFeliceAM","ui_bubble_rating bubble_30","Date of experience: March 2019","The castle itself didn't meet my expectations. Visited in March and despite cold weather there were crowds of tourists. We walked towards the castle and it was a pleasant walk - fresh air, little streams falling from the mountains. But castle was somehow pale and...More","Level 6 Contributor","60 Helpful votes"
"Dogdreamer","ui_bubble_rating bubble_40","Date of experience: February 2019","this was our third stop for the day and tour was sold out by the time we got there which was early afternoon 3?? We walked to the entrance anyway, which was covered with scaffolding for restoration. This is an extremely tourist stop so not...More","Level 4 Contributor","10 Helpful votes"
"Donsurfandski","ui_bubble_rating bubble_50","Date of experience: March 2019","Just spent a fantastic day visiting the Neuschwanstein Castle. Despite heavy snow and winds, the trip was sensational thanks to our great tour guide Dani. Her knowledge about the history of the castle and her fantastic attitude made the trip one of the highlights of...More","Level 3 Contributor","15 Helpful votes"
"JoScotch","ui_bubble_rating bubble_30","Date of experience: March 2019","Visited with 2 friends in March. You can walk up to the castle for free, I wouldn’t bother with any tours. There were far too many people on the guided tour and we were rushed around and given no time to look around (this would...More","Level 4 Contributor","32 Helpful votes"
"chrislioo","ui_bubble_rating bubble_50","Date of experience: July 2018","Although you cannot take pictures inside the castle, it is definitely one of the better castles in Europe that I would recommend people to take the effort and see. The King of Bavaria Ludwig II was an avid fan of Wagner's works which can be...More","Level 5 Contributor","18 Helpful votes"
"BagmanNZ","ui_bubble_rating bubble_50","Date of experience: October 2018","I came here on a tour on an atrociously wet day. With it being a tour we walked up to the castle. If I was here by myself in similar conditions I'm not sure I'd do that again. Horse and cart would do just fine....More","Level 6 Contributor","273 Helpful votes"
"AmyC201529","ui_bubble_rating bubble_40","Date of experience: March 2019","This was one of my favorite things we visited! It is beautiful against the Bavarian scenery and everywhere you look beautiful views! It is a lot of walking and there is very limited handicap accessibility to get there and once inside the castle. We did...More","Level 6 Contributor","31 Helpful votes"
"Garrett P","ui_bubble_rating bubble_50","Date of experience: May 2018","This was my first time in this area of Europe so I took a day out before I drove the Romantic Road. I was not disappointed. The castle is beautiful. The interior of the castle is really interesting because each large room is dedicated to...More","Level 6 Contributor","35 Helpful votes"
"paulmO2855OB","ui_bubble_rating bubble_30","Date of experience: March 2019","The castle was amazing!! But the tour was trash. We barley saw any of the castle and the tour guides got mad because we took too long to look at stuff. Won’t be coming back due to the tour company in charge. If I pay...More","Level 3 Contributor","5 Helpful votes"
"An_Old_Burian","ui_bubble_rating bubble_20","Date of experience: February 2019","This is a massive castle but you only get to visit a small number of rooms in the tour - and that involves something like 100 steep steps both up and down...…..after you have undertaken a stiff walk up from the cafes (even if you...More","Level 6 Contributor","301 Helpful votes"
"Paivar","ui_bubble_rating bubble_50","Date of experience: November 2018","We went in the afternoon on an off peak day and it was very busy so I can imagine how bad it would be in peak! Parking was easy. We walked up to the bus line and caught that up the hill and walked back...More","Level 6 Contributor","34 Helpful votes"
"erniemaryk","ui_bubble_rating bubble_40","Date of experience: February 2019","My husband and I took the tour in February. We had a beautiful day. Its a long walk up to the castle but so worth it. The guided tour provided lots of historical details and the castle itself is simply amazing.","Level 5 Contributor","7 Helpful votes"
"Augustin Ovidiu T","ui_bubble_rating bubble_50","Date of experience: September 2018","we got on the bus, the long way to get up ... I was at a suspended bridge where it was said that Ludwig met a woman in secret ... the castle is gorgeous as a story, it's not over, it's not visit all the...More","Level 5 Contributor","6 Helpful votes"
"wbkrb","ui_bubble_rating bubble_40","Date of experience: February 2019","In Schwangau you can visit 2 castles. the castle Hohenschwangau & castle Neuschwanstein. Both castles lie on a mountain which is a strong walk. Depending on the season, buses and horse-carriage are available here. During my visit, it was only possible to use carriages to...More","Level 1 Contributor","2 Helpful votes"
"PickApprentice","ui_bubble_rating bubble_50","Date of experience: February 2019","We were in Munich for two days and decided to spend our Sunday at the castles. It was a right decision to make reservation for entry tickets online as we waited for 10 mins in comparison to the unreserved queue which I would not be...More","Level 2 Contributor","17 Helpful votes"
"JCPetty","ui_bubble_rating bubble_50","Date of experience: September 2018","You can only purchase tickets there, the day of your tour, or online two days or more ahead of time. We decided to walk out of town to the ticket office at the base of the mountain the castles, which was pleasant enough, but took...More","Level 6 Contributor","45 Helpful votes"
"Stephanie D","ui_bubble_rating bubble_50","Date of experience: December 2018","Wow, this place is just beautiful outside and in. The walk/hike to the castle was a great way to get some fresh air. The walk was manageable on paved road and not very steep. I would recommend getting your ticket then starting a leisurely journey...More","Level 6 Contributor","42 Helpful votes"
"TravelLikeLocal","ui_bubble_rating bubble_40","Date of experience: December 2018","This is a place that I have to come every time I’m in Bavaria. I’ve been three times! I totally recommend booking a tour the first time you come because it can be a hassle to get tickets and make sure your at the gate...More","Level 3 Contributor","2 Helpful votes"
"joday013","ui_bubble_rating bubble_40","Date of experience: February 2019","Great tour with my daughter. It just like all the pictures. Just a warning you can't take pictures inside the castles which is a shame, but still worth the walk up to see it.","Level 5 Contributor","22 Helpful votes"
"jakubz457","ui_bubble_rating bubble_40","Date of experience: October 2018","We arrive around 8 in the morning. The place in early autumn sun looks just amazing. We were charmed, but to be honest, if You can choose the day when You arrive, try middle of the week - during weekends the place is very crowded,...More","Level 3 Contributor","18 Helpful votes"
"AmCan","ui_bubble_rating bubble_50","Date of experience: June 2018","Neuschwanstein is ""Mad"" King Ludwig's architectural masterpiece. Now, Ludwig wasn't really all that ""mad,"" and the multi-layered, nuanced story (and mystery) unfolds as you take the tour. The “castle” is a modern invention. Ludwig started it in the late 19th century. It looks like a...More","Level 4 Contributor","43 Helpful votes"
"dianacanaday","ui_bubble_rating bubble_40","Date of experience: December 2018","but frankly I was just a little disappointed. The tour was an all day tour from Munich which was nice - a lot of beautiful countryside along the way....even though it was raining and even a little snowing, it was beautiful (and cold). When you...More","Level 6 Contributor","103 Helpful votes"
"Rabih-SOUAID","ui_bubble_rating bubble_50","Date of experience: December 2018","Entrance fees: 13€ (Audioguide included). Visit Duration: Audio guided tour for around 40 minutes. The interior is beautiful however it's not a big loss if you missed the interior, however the exterior is worth the time. Book online ahead of time. You might wait for...More","Level 6 Contributor","422 Helpful votes"
"RobotsAreTheFuture","ui_bubble_rating bubble_40","Date of experience: October 2018","We paid a visit to this famous castle in October, a must see if you are visiting the area. You can either walk up or take a horse drawn cart to the top. We elected to walk as we wanted some extra exercise! It's a...More","Level 4 Contributor","1 Helpful vote"
"CMCteach","ui_bubble_rating bubble_50","Date of experience: April 2018","Breathtaking views, fascinating history, and superb guides makes this an absolute must see! It is surreal to walk the same hallways and in the same rooms of those who lived here centuries ago.","Level 3 Contributor","1 Helpful vote"
"KOAHTR","ui_bubble_rating bubble_40","Date of experience: December 2018","It is no wonder that Disney found inspiration in the Neuschwanstein castle. It is quite breath-taking from the outside and fairly interesting inside too. I would recommend taking a horse-drawn carriage up and perhaps walking back down.","Level 4 Contributor","5 Helpful votes"
"PISICAANA","ui_bubble_rating bubble_50","Date of experience: December 2018","I visited Munich at the beginning of December 2018. The purpose of this visit was to see the Christmas fairs in Munich. But we booked one day and went out of town and visited the castle. The tickets for castle have been booked online; I...More","Level 4 Contributor","9 Helpful votes"
"stranger_and_pilgrim","ui_bubble_rating bubble_30","Date of experience: January 2019","I have long wanted to visit Neuschwanstein Castle and was really looking forward to it. We were there in January 2019 - in the middle of the heaviest snowfall for the area in approximately 15 years. The snow was amazing and just added to the...More","Level 6 Contributor","57 Helpful votes"
"emmadonareviews","ui_bubble_rating bubble_40","Date of experience: July 2018","definitely worth the hike or bus drive what a gorgeous castle! we saw both of them on our trip and i fell in love! if i become a princess i’m moving there ahah. definitely recommend going to both of the castles and doing the tour...More","Level 4 Contributor","8 Helpful votes"
"NewJerseyFunTraveler","ui_bubble_rating bubble_40","Date of experience: January 2019","Thought the ticket price was too expensive for what you got on the tour. First off, you have to hike up about a mile up a very steep muddy driveway to get up to the castle (not for the fade of heart). We stopped at...More","Level 6 Contributor","67 Helpful votes"
"Gabriella F","ui_bubble_rating bubble_30","Date of experience: January 2019","I love this castle. From the outside. i have been wanting to come here for years, and, well, I found the tour to be underwhelming. We were whisked through very quickly (they said 30 minute tour, but I´m sure it was less), and only saw...More","Level 2 Contributor","3 Helpful votes"
"KaterinaDyrda","ui_bubble_rating bubble_50","Date of experience: January 2019","**PLEASE READ THE BOTTOM FOR HOW TO SAVE MONEY GETTING HERE WITH THE BAYERN PASS** I went with my fiancee to Neuschwanstein for New Year's. Apart from being her childhood dream, it was also one of the reasons that inspired her to learn German. It's...More","Level 1 Contributor","8 Helpful votes"
"ignazh","ui_bubble_rating bubble_20","Date of experience: February 2019","You will be pushed thru the rooms without really explained what you see and what is depicted. Comments of guides are on the 6th grade level. You have no clue, where you are in the building and how this castle is structured. You see half...More","Level 4 Contributor","54 Helpful votes"
"gsm1121","ui_bubble_rating bubble_50","Date of experience: January 2019","The most famous and popular castle in the world? Probably, at least Walt Disney thought so when he modeled his theme park castles after this one. As usual, I liked the outside view more than the inside view. It wasn't expensive so go inside but...More","Level 6 Contributor","142 Helpful votes"
"niamhabroad","ui_bubble_rating bubble_50","Date of experience: January 2019","Beautiful castle in a stunning setting and it's easy to see why it has become world famous. We travelled by train from Munich and felt that the journey was very worthwhile. We walked the mile or so up to the castle from the village and...More","Level 5 Contributor","45 Helpful votes"
"takeshih2016","ui_bubble_rating bubble_40","Date of experience: January 2019","Speaking of the most famous German building, everybody conceives Neuschwanstein castle that served as a model for Cinderella castle. You can go there from Munich using Bavaria ticket, a discount rail ticket. However we applied for the tour held by JTB via Veltra because Bavaria...More","Level 6 Contributor","44 Helpful votes"
"MichaelBanks","ui_bubble_rating bubble_30","Date of experience: January 2019","I was heading to Munich but decided to detour down to Bovaria and the world famous Neuschwanstein castle. From the train station it is €6 to get to a stop in which you have a short walk to get to the ticket station. Believe it...More","Level 6 Contributor","19 Helpful votes"
"265irinaj","ui_bubble_rating bubble_50","Date of experience: January 2019","The castle is breathtaking when you come close to it. Once you first see it from the road- it looks rather small. However in close proximity it’s very impressive. Interiors inside are so unusual that I haven’t seen anything like that before. It’s challenging for...More","Level 6 Contributor","107 Helpful votes"
"anthonyfung1969","ui_bubble_rating bubble_30","Date of experience: January 2019","The interior of the castle is really beautiful, the audio commentary is very good, if only the guided tour can be improved.There are too many unfriendly regulations for the semi guided audio tour, we were stuck with a large group and you can hardly see...More","Level 4 Contributor","7 Helpful votes"
"Lizardprincess","ui_bubble_rating bubble_50","Date of experience: January 2019","Was here on my 50th Birthday in early January Speechless Bucket list tick Munich means Neuschwanstein. Its a bit of a trek to the castle, buses dont run in winter and the queues to the horse and cart were ling by the time we got...More","Level 3 Contributor","11 Helpful votes"
"TravellerSince1960","ui_bubble_rating bubble_50","Date of experience: July 2018","We came to HohenSchwangau about 9 am. There was already lot of people in ticket office. We got tickets 9:38 to English tour 13:35. We drove to Fussen meanwhile. We were lucky to get parking again 10:42. Center of village was like chaos vehicles and...More","Level 5 Contributor","16 Helpful votes"
"Julia P","ui_bubble_rating bubble_40","Date of experience: January 2019","Spent the night in Füssen which made it really easy to get to the castle early before the crowds. Take bus 73 or 78 from the Bahnhof. The architecture and interior design of the castle is beautiful!! Unfortunately Marienbrüke was closed at the time so...More","Level 4 Contributor","3 Helpful votes"
"42sharone","ui_bubble_rating bubble_40","Date of experience: June 2018","Unbelievable fairytale type castle. You can spend a whole day exploring the gigantic castle. You won’t be able to take pictures inside and the walk up to the castle is very long - defiantly not something to do with mobility issues. The area around the...More","Level 3 Contributor","2 Helpful votes"
"882catalinp","ui_bubble_rating bubble_50","Date of experience: April 2018","One of the most beautiful castles I've ever been to, and I've been to a bunch. It had a very rich story behind it and a very spectacular interior design. Some of the castles rooms were created in different styles starring from bisanthian to gothic....More","Level 5 Contributor","7 Helpful votes"
"edwardtang","ui_bubble_rating bubble_40","Date of experience: January 2019","A castle that is full of imagination and fantasies. Amazing views all over the castle from within and outside the castle. Allow yourself at least 30 minutes to decent from the castle by foot. Wear comfortably and better to get tickets through a travel agent...More","Level 6 Contributor","28 Helpful votes"
"ChristiVanE","ui_bubble_rating bubble_50","Date of experience: December 2018","There is a reason why this is such a popular tourist spot. The castle is as beautiful as all the millions of photos getting shared every year. We did this as a day visit from Munich, and found it easy to do. Taking the train...More","Level 5 Contributor","13 Helpful votes"
"Twins_mama_foody","ui_bubble_rating bubble_40","Date of experience: January 2019","Beautiful place with breathtaking views! Keep in mind you can’t take pictures inside. Also we took the last tour at 16:00 and we had bad surprise when we found out we have to walk down with two kids in the snow! Make sure you have...More","Level 5 Contributor","4 Helpful votes"
"cjuergens86","ui_bubble_rating bubble_40","Date of experience: December 2018","I've been to Neuschwanstein twice now, once in autumn and once during christmas. The latter visit was a little unfortunate as due to the cold temperatures the bridge was closed and we couldnt access it to get the typical photos. Really a shame! The guided...More","Level 3 Contributor","6 Helpful votes"
"husbandsmeetworld","ui_bubble_rating bubble_50","Date of experience: December 2018","My husband and I wanted to see Neuschwanstein Castle but were based in Berlin for our trip. We took a day trip by flying from Berlin to Munich (EasyJet) and then driving to the castle. It was a long day but well worth the trip....More","Level 4 Contributor","14 Helpful votes"
"Skbrown12","ui_bubble_rating bubble_50","Date of experience: January 2019","This castle is a must see when in the area. Yes it’s a long walk and yes it’s up hill all the way but once you reach the top you will have a breathtaking view. It’s at the foot of Swiss Alps and we have...More","Level 5 Contributor","8 Helpful votes"
"616tessr","ui_bubble_rating bubble_50","Date of experience: December 2018","A beautiful castle that was magical even in the pouring rain. Well worth the walk up to the bridge. Did not go inside as family said it’s a letdown. Horse and carriage ride is easy and cheap and a fun experience too.","Level 4 Contributor","9 Helpful votes"
"269ortalc","ui_bubble_rating bubble_50","Date of experience: January 2019","Wow!!! Amazing castle!!! We go up with carriage(6€) On the way down we walk It's took around 15 min We did a tour inside the castle It's took around 20 min. while the tour You can recording on English and other languages about the history...More","Level 4 Contributor","9 Helpful votes"
"kkhappl","ui_bubble_rating bubble_50","Date of experience: February 2018","Had a great time touring the castle. Great scenery. Pretty cool how they built the castle on the edge of a cliff so long ago! We live by Disney world so it is pretty cool to see the castle it was modeled after.","Level 4 Contributor","17 Helpful votes"
"philr659","ui_bubble_rating bubble_30","Date of experience: January 2019","Of the two castles on the site the old castle - though less pretty - is the most impressive. The tour of the Old Castle was well worth it; the tour guide Wolfgang was fun, informative and knew his subject matter. The New castle however,...More","Level 3 Contributor","2 Helpful votes"
"colleenbrookexo","ui_bubble_rating bubble_50","Date of experience: May 2018","What a wonderful experience! We booked this experience on our own (not with a tour) and drove ourselves from Munich. It was a wonderful way to spend the day. As first time visitors to Bavaria, we were taken aback by the landscape. Seeing the Alps...More","Level 4 Contributor","8 Helpful votes"
"Annah E","ui_bubble_rating bubble_30","Date of experience: December 2018","The castle is fabulous, full of ornate and splendid things. The location is spectacular and the story of the tragic king is fascinating. Do check out the bridge - a breathtaking view and exciting height challenge. Unfortunately, the tours are jammed so close together -...More","Level 3 Contributor","14 Helpful votes"
"JassimAlNowais","ui_bubble_rating bubble_40","Date of experience: January 2019","The main inspiration behind Disney’s mesmerizing fairytales. The details are very nice. The scenic train ride from Munich was breathtaking. We took a horse carriage up to the castle and walked down by foot. The guided tour lasted for an hour and it was very...More","Level 3 Contributor","3 Helpful votes"
"261luigil","ui_bubble_rating bubble_10","Date of experience: December 2018","The tour inside is ridiculously expensive for what you actually see and there is really nothing special than a nice view (only from one direction after a short path). If you get to be there in winter and the path to get to this only...More","Level 6 Contributor","15 Helpful votes"
"Use_the_force_jodi","ui_bubble_rating bubble_40","Date of experience: September 2018","I’m not saying don’t visit inside....that’s still great....but the wonder is the outside. Just magical from every vantage point. The inside is good a swell. Lots of steps and quite busy, but worth it if you have the time","Level 3 Contributor","3 Helpful votes"
"travelling-ravs","ui_bubble_rating bubble_30","Date of experience: December 2018","I visited this castle together with Linderhof Palace with Grey Line tours. Neuschwanstein is grand on the outside, no argument there so was expecting the wow factor once we got inside...and nope. A bit of an anticlimax considering how long it takes to hike up...More","Level 3 Contributor","6 Helpful votes"
"gopalbharuka","ui_bubble_rating bubble_50","Date of experience: January 2019","Perfect destination to visit in group. The lake near the climb adds to the picturesque experience. It’s roughly 2 hours by bus from Munich city central.","Level 3 Contributor","1 Helpful vote"
"Kathleen D","ui_bubble_rating bubble_40","Date of experience: December 2018","Spectacular to look at from a distance even more so up close. If you have difficulty walking or climbing stairs you may need to think about it. Take the horse and carriage up but there is still more uphill walking and plenty of stairs. Well...More","Level 4 Contributor","9 Helpful votes"
"Sanjeev D","ui_bubble_rating bubble_50","Date of experience: July 2018","This Castle is one of its kind. A must visit for every traveler. Located in the Bavaria region has a great history behind and give an insight about the kings during that period.","Level 4 Contributor","9 Helpful votes"
"Aurie23","ui_bubble_rating bubble_50","Date of experience: December 2018","Save yourself so much by going to the castle from Munich, and not paying a fortune for a tour. Three of us took the train using a Bayern ticket from Munich main train station and we had pre-booked tickets online, which was done with a...More","Level 4 Contributor","31 Helpful votes"
"ChaeAmando","ui_bubble_rating bubble_40","Date of experience: November 2018","King Ludwig the II’s intent to bring to life an idealized Medieval castle fantasy is realized in this magical complex of castles. Much like everyone, I’d already seen it’s iconic facade in photos (and yes the Disney homage), but I was completely swept away by...More","Level 6 Contributor","85 Helpful votes"
"Taylor W","ui_bubble_rating bubble_50","Date of experience: October 2018","We visited while in Munich for Oktoberfest. Wonderful place to see and only wish we could've spent more time touring the area. We wore our lederhosen and dirndl and our photos came out great, almost looked photoshopped- great personalized Christmas card option haha.","Level 2 Contributor","2 Helpful votes"
"darluthier","ui_bubble_rating bubble_40","Date of experience: August 2018","We were super excited to visit Neuschwanstein, but the weather couldn’t have been any worse. It poured with rain and it was completely enveloped in a cloud for the entire 4 days we were there. Of course you can’t help the weather, but it’s something...More","Level 4 Contributor","7 Helpful votes"
"Eugeniya555","ui_bubble_rating bubble_40","Date of experience: October 2018","I wanted to visit this castle long ago. But...to tell the truth, expected much more. Exterior is magnificent, interior is modest (it's my opinion), and you have no enough time to see all beauty inside because the guide was racing our big group (you can...More","Level 2 Contributor","2 Helpful votes"
"Hasnraz","ui_bubble_rating bubble_50","Date of experience: January 2019","This was on my bucket lest for years and wanted to see it during winter time. So finally saw the fairy tale castle and it was amazing. Unfortunately the tour is very short and is over within an hour. Fantasy castle and all the room...More","Level 4 Contributor","18 Helpful votes"
"gdaymelb","ui_bubble_rating bubble_50","Date of experience: October 2018","we went via bus tour to the castle the walk up although steep and gets your heart rate up was beautiful the autum leaves were amazing and i would definatly return there. only big note is most places take cash only or have a minimum...More","Level 2 Contributor","2 Helpful votes"
"leesK1482ZN","ui_bubble_rating bubble_50","Date of experience: August 2018","My wife and I were able to take a day trip to visit Neuschwanstein Castle and the surrounding area. The trip from Munich to the Füssen area is an easy one. We decided to rent a car from the Munich Central Station (Hauptbahnhof) rather than...More","Level 3 Contributor","4 Helpful votes"
"Bryuzga","ui_bubble_rating bubble_50","Date of experience: January 2019","Magnificent, opulent and not finished, it almost made Bavarian kings bankrupt and cost throne and life to its owner and creator - King Ludwig II. However, Ludwig will always be remembered - it is the greatest monument to him.","Level 6 Contributor","54 Helpful votes"
"Algarveaddick","ui_bubble_rating bubble_20","Date of experience: January 2019","I can only echo other disappointed travellers reports. We went with Radius Tours from Munich, which cost about €110 for two of us. Nothing to complain about there, great guide, good advice and no hanging about for tickets as they do it all for you....More","Level 6 Contributor","97 Helpful votes"
"AlexALM626","ui_bubble_rating bubble_50","Date of experience: January 2019","Since childhood, I have been thinking about visiting Neuschwanstein Castle. I am happy that I had visited it recently. It is a marvelous place, filled up with a positive energy. The landscape around it is green and rocky. The Castle itself seems like you're in...More","Level 3 Contributor","9 Helpful votes"
"881giovannar","ui_bubble_rating bubble_50","Date of experience: March 2018","The entrance fee is high, but he tour is worth all the money. The audio guide that guides you through the castle is well thought, not too long not too short, and provides interesting insights. The castle is amazing both for its architecture and history....More","Level 3 Contributor","1 Helpful vote"
"AleksanderKiev","ui_bubble_rating bubble_50","Date of experience: March 2018","Very very beautiful Castle. It's so comfortable to get here use train and local bus. The nature around just fascinates you. I had such impressions, as if this Castle from fairytales. Always there are a lot of people here. But be ready to asend a...More","Level 6 Contributor","19 Helpful votes"
"JimSTL1021","ui_bubble_rating bubble_20","Date of experience: August 2018","We were able to score late afternoon tickets without reserving ahead of time by arriving at the ticket office around noon. The English tour started about 5:30 pm so it was quite a long wait and a total waste of time. Since much of the...More","Level 6 Contributor","246 Helpful votes"
"bramblyhedge8","ui_bubble_rating bubble_50","Date of experience: December 2018","Nearly booked an organised excursion but when you read most of them they state you have to still pay entrance to castle, so you’re really paying for a transfer at £50pp We were 4 and got a group ticket for €35 total this allowed us...More","Level 6 Contributor","57 Helpful votes"
"180simonm","ui_bubble_rating bubble_40","Date of experience: September 2018","The castle itself is very imposing, and like a fairy tail castle. Went on the castle tour, very informative, although the story of its creator is rather sad. Unfortunately it is now very touristy with peolpe evrwhere. Enjoyed our visit though despite this as we...More","Level 5 Contributor","17 Helpful votes"
