"reviewer_name","reviewer_rating","reviewer_date","reviewer_review","reviewer_ContributorLevel","reviewer_HelpfulVotes"
"PicklesPerth01","ui_bubble_rating bubble_50","Date of experience: December 2018","As an introduction to snow this was a great adventure from Munich. Once you battle for a seat on the train then the bus it's a great walk uphill. Due to the extreme cold and bodies that had yet to acclimatise to the weather we...More","Level 4 Contributor","15 Helpful votes"
"adv40624","ui_bubble_rating bubble_20","Date of experience: December 2018","I first visited this castle in 2001 and recently went back with friends. It is amazing how popular it has become and sadly, is now a tourist trap. The first time I toured the inside of the castle and only a few rooms are actually...More","Level 4 Contributor","26 Helpful votes"
"Lucie N","ui_bubble_rating bubble_30","Date of experience: November 2018","We decided to visit the beautiful Neuschwanstein Castle and we were not disappointed by the breathtaking look of it. We bought a two-way bus ticket to get to the Castle from Schwangau and tickets to get inside (booked online). We were a little early for...More","Level 3 Contributor","4 Helpful votes"
"Linda37g","ui_bubble_rating bubble_50","Date of experience: December 2018","We visited here just after Christmas and its just wow amazing .We were stayibg in Fussen and our receptionist advised us to get here very early before ticket office is open even .We got the bus out and arrived 10 mins after opening time and...More","Level 4 Contributor","25 Helpful votes"
"MattyL09","ui_bubble_rating bubble_40","Date of experience: January 2019","We went to Neuschwanstein from Munich for the day. We found it slightly cheaper to take public transport. On arrival, the bus to the castle wasn’t running, meaning a long wait for the horse & cart, or a walk. The castle itself is incredible &...More","Level 3 Contributor","2 Helpful votes"
"X19DOC","ui_bubble_rating bubble_50","Date of experience: January 2019","The original Castle Neuschwanstein - Do what you want but make sure that you have visit it once in your lifetime !!! We visited it at the 3rd of January 2019 for two days. Dreamful winterscenery 30 cm Snow - intensiv snowing - cold -...More","Level 3 Contributor","5 Helpful votes"
"juli_juless","ui_bubble_rating bubble_30","Date of experience: August 2018","My rate is 3 because we did not get to see the inside of the Castle as it was closed that day or during the time we were there, I am not sure. There were large groups waiting to go in, maybe only groups were...More","Level 5 Contributor","25 Helpful votes"
"Iguane2013","ui_bubble_rating bubble_50","Date of experience: June 2018","incredible masterpiece, when you drive trough the castle the roads are amazing and the castle is magnificent!","Level 4 Contributor","14 Helpful votes"
"Our W","ui_bubble_rating bubble_40","Date of experience: January 2019","Of course one of the most beautiful man made structures on earth and set in an amazing area the Neuschwanstein castle is amazing. That being said, what you don’t see when you look at a picture of the castle is the crowds and man are...More","Level 4 Contributor","6 Helpful votes"
"RogerC314","ui_bubble_rating bubble_50","Date of experience: January 2019","We went with Gray Line on their normal (not the premium) Royal Castles day excursion to Linderhof and Neuschwanstein castles and what a great day. Our guide Stephanie and driver Simon were both superb with good subject knowledge and great senses of humour. Highly recommended.","Level 4 Contributor","30 Helpful votes"
"richoma","ui_bubble_rating bubble_50","Date of experience: December 2018","My wife & I went on an organised tour from Munich which was booked via Expedia. We arrived around 10.00 & the castle was surrounded with mist which obscured some parts for photos but soon cleared. On arrival we were given timed tickets & told...More","Level 5 Contributor","18 Helpful votes"
"lilyintx","ui_bubble_rating bubble_50","Date of experience: December 2018","I was so excited to visit the castle- we reserved a tour at the train station, very reasonable- did not have to wait in line when we got there. It was a Monday so it wasn’t incredibly packed, but there was a train strike. Luckily...More","Level 4 Contributor","16 Helpful votes"
"SUZUKIJR","ui_bubble_rating bubble_50","Date of experience: January 2019","We got a car form SIXT and went to the castle . It is around 1:45 h by car directly to the place through autobahn and part of Romantic route . It is safe . My tip is : buy the tickets online in advance...More","Level 5 Contributor","21 Helpful votes"
"markmercado","ui_bubble_rating bubble_40","Date of experience: May 2018","Disney's peg is truly a magical experience. I love the story surrounding this castle and the royal family involved in it. However, the number of visiting tourists is just overwhelming. It can get extremely crowded. Anyhow, this is something tick off from your bucket list....More","Level 3 Contributor","10 Helpful votes"
"D9448VCchristinec","ui_bubble_rating bubble_10","Date of experience: January 2019","We visited a total of 7 castles between Germany, Czech Republic and Austria, this was by FAR the worst. The trip out to Schwangau alone was a complete RIP off. They seem to be aware that there is only 1 reason to go out to...More","Level 2 Contributor","6 Helpful votes"
"SrikanthSrinivas","ui_bubble_rating bubble_50","Date of experience: February 2018","amazing castle built on top of hill. One has to come to Fussen, take a bus to Schwangau and reach ticket centre at the foot of the hill. Buses ferrey visitors to the castle gate, but watch for the frequency. Visit the website and block...More","Level 4 Contributor","28 Helpful votes"
"xlalalaur3n","ui_bubble_rating bubble_40","Date of experience: September 2018","The castle has a steep incline to the top that I only recommend those who are decently fit to hike on their own. Otherwise take a carriage because people were struggling left and right and we actually had an older gentlemen from our tour who...More","Level 6 Contributor","41 Helpful votes"
"iqttrvlr","ui_bubble_rating bubble_50","Date of experience: September 2018","Just as imagined, with a wonderful story to go with it. On my bucket list since I first heard about it. In my opinion it is the most beautiful castle there is.","Level 6 Contributor","35 Helpful votes"
"weeksj2015","ui_bubble_rating bubble_50","Date of experience: December 2018","We were at the castle In December and arrived late. The castle was very nice from the outside, the attention to details was outstanding. There is a horse drawn carriage that will take you to the castle if you want to wait in line. Tours...More","Level 6 Contributor","17 Helpful votes"
"clmccor","ui_bubble_rating bubble_20","Date of experience: December 2018","The inside of the castle is beautiful - the effort is not. The amount of effort and physical pain it took to get here was horrible. It sold out by 1130. We had to stand on the train there, people touching you on all sides...More","Level 1 Contributor","3 Helpful votes"
"donalde380","ui_bubble_rating bubble_40","Date of experience: November 2018","We arrived to Neuschwanstein Castle early in the morning. The only tickets for the tours remaining were after 1:30pm. The tour was amazing; however there is a lot of walking and stair climbing involved. Also, you are not allowed to take any photos inside the...More","",""
"zergblerg","ui_bubble_rating bubble_40","Date of experience: December 2018","Neuschwanstien is a beautiful castle down in Bavaria. It is a fantastic piece of architecture with many beautiful pairings and wood carvings inside. However, getting there in peak season one has to be very committed. Over the Christmas period the lines for anything are huge...More","Level 5 Contributor","7 Helpful votes"
"fj-tripper","ui_bubble_rating bubble_20","Date of experience: December 2018","Overall, this very touristy historical site is underwhelming. There is a lot of foofaraw and expense to get there (prebooked tickets for a specific timeslot, 6€ parking, 40 minute walk up the mountain, much queuing, many tourists) for what in the end is a 30...More","Level 4 Contributor","23 Helpful votes"
"Tampauro","ui_bubble_rating bubble_50","Date of experience: December 2018","I drove my family of 5 from Munich to the castle. Well worth it. It was beautiful. It was a long uphill walk. You can take a horse and buggy instead, but there are not many of those and they don’t come around often. We...More","Level 6 Contributor","28 Helpful votes"
"David C","ui_bubble_rating bubble_40","Date of experience: December 2018","This castle is beautiful from the outside but kind of underwhelming on the inside. Definitely come see it but feel free to skip the tour. Take your time on the hike up. It’s free to see the outside. Great scenic views of the valley as...More","Level 6 Contributor","134 Helpful votes"
"CG O","ui_bubble_rating bubble_50","Date of experience: December 2018","Very beautiful and spectacular view. Can buy ticket on-site but very long queue. We queued for more than 90 mins just to buy ticket. Strongly suggest to book online to avoid this. Guided tour js compulsory and she is really good . Worth it.","Level 6 Contributor","134 Helpful votes"
"jim80","ui_bubble_rating bubble_30","Date of experience: December 2018","Visited in winter when transport nearer the castle does not run. The one mile walk uphill was challenging and as the castle has much building work there is a lot of scaffolding around it. There are tours every 5 minutes and each tour has too...More","Level 3 Contributor","8 Helpful votes"
"eadfphoto","ui_bubble_rating bubble_50","Date of experience: December 2018","Beautiful landscapes. Awesome structure. The snow everywhere gave him an even more attractive taste. If the sun touches it, it looks breathtaking. I really recommend visiting this place if you are visiting Bavaria. Actually, it is a ""You-Must-Visit"" place. If you go by train from...More","Level 3 Contributor","8 Helpful votes"
"Can_Travel_2018","ui_bubble_rating bubble_30","Date of experience: December 2018","This castle was nice with good history. We enjoyed taking pictures of the castle from the bridge. There was a nearby restaurant. We were able to get tickets fairly easy at the ticket booth although our hotel was fully booked. We just walked up to...More","Level 2 Contributor","8 Helpful votes"
"Stormie C","ui_bubble_rating bubble_40","Date of experience: December 2018","It’s a long day out from Munich- 2 hours each way by train to Füssen , then 10 minutes by bus to the castle location and ticket office. It was crazy busy the day we visited, 2 days before Christmas, and by the time we...More","Level 6 Contributor","48 Helpful votes"
"welchtima","ui_bubble_rating bubble_50","Date of experience: September 2018","We had want to visit this castle for many years, so on the road from the Black Forest to Munich, we stayed the night in Hohenschwangau and took an early tour of the castle. The walk up is steep but picturesque and offers a few...More","Level 6 Contributor","48 Helpful votes"
"870leesah","ui_bubble_rating bubble_50","Date of experience: December 2018","Absolutely must see this was a wonderful experience. We booked two weeks before arriving. Arrive at least 1.5 hours before tour.","Level 4 Contributor","3 Helpful votes"
"Debiprasad M","ui_bubble_rating bubble_50","Date of experience: October 2018","An excellent escapade for people travelling to Munich or living in Munich like me. We drove to Neuschwanstein from Munich for 1.5 hours. The castle has spectacular views. For families with Kids, I would highly recommend to take the horse cart up to the castle...More","Level 2 Contributor","6 Helpful votes"
"bernie b","ui_bubble_rating bubble_40","Date of experience: December 2018","Hi there I have been here a few times.last time 5 years ago. Came back today. Well, very busy. Parking is now a ridiculous 6 euros!!! Really?is t it enough to charge for the toilet? Anyway, dont waste your time, driving around to find a...More","Level 5 Contributor","62 Helpful votes"
"Chris R","ui_bubble_rating bubble_50","Date of experience: December 2018","Castle is less than 150 years old and clearly shows it inside. Much less dreary than many other castles. Be aware that currently (late 2018) you must walk about 1 kilometer up a road to the castle - or you can take the horse drawn...More","Level 6 Contributor","98 Helpful votes"
"LONPAR52","ui_bubble_rating bubble_50","Date of experience: December 2018","We did not pre-order tickets as our dates were not firm-however we decided to go anyway and hope for the best. We took the train from Munich’s HBF (main train station) at around 950am to Füssen, arriving close to 12noon. After arriving Füssen, we took...More","Level 2 Contributor","4 Helpful votes"
"tubbagoogoo","ui_bubble_rating bubble_30","Date of experience: December 2018","We had a good time visiting the castle, our hotel arranged the tickets and pick up was easy and efficient. Best advice would be to take the horse carriage up and walk down...down is much easier then up :). Keep an eye on the carriage...More","Level 4 Contributor","14 Helpful votes"
"vaevy","ui_bubble_rating bubble_30","Date of experience: December 2018","Maria bridge and the castle is under construction. No shuttle bus in winter time. I need to take horse instead. but you can walk up to the castle.","Level 4 Contributor","2 Helpful votes"
"josettem481","ui_bubble_rating bubble_50","Date of experience: December 2018","For anyone who loves spectacular scenery and majestic rooms, you must definately visit Neuschwanstein castle. I preferred the scenery whereas Linderhoff castle is spectacular. A work of art","Level 3 Contributor","8 Photos"
"Mattiaquatrav","ui_bubble_rating bubble_30","Date of experience: December 2018","Was really cold walking up to the castle. Could feel my ears at a certain point was -13 deg. From the outside the castle looked astonishing and enormous. When we went in the architecture wood was marvelous🤤. Was disappointed cause such a huge castle and...More","Level 3 Contributor","1 Helpful vote"
"CandyMckibbin","ui_bubble_rating bubble_50","Date of experience: October 2018","This Castle is a must visit, the views are incredible! The King's man cave was one of my favourite ""rooms""in the castle. I loved the fairytale element and closeness to nature!","Level 4 Contributor","1 Helpful vote"
"stgrg","ui_bubble_rating bubble_40","Date of experience: December 2018","It is a nice place to visit ... A traditional king's castle with plenty of fine rooms and treasures..! I don't believe it is value for money.. i think the guided tour is poor! The tour lady didn't speak so good and made it difficult...More","Level 6 Contributor","65 Helpful votes"
"JPMMJM","ui_bubble_rating bubble_40","Date of experience: October 2018","We walked slowly up to the castle and walked down as well. There are also many steps on the castle tour itself. If you have knee issues, you should really consider the bus up and the carriage ride down. The views along the way and...More","Level 6 Contributor","48 Helpful votes"
"Pitt-Duq","ui_bubble_rating bubble_40","Date of experience: December 2018","This is a magnificent site. A must see if you are in the area. However, December is probably not the best time to visit. If the buses are not running between the visitor center and the castle, is can be a cold 45 minute walk....More","Level 6 Contributor","48 Helpful votes"
"Cristina S","ui_bubble_rating bubble_50","Date of experience: September 2018","beautiful castle and visit well organized . Possibility, in the same day to visit this Castle and the other (Hohenschwangau Castle) very close to the Neuschwanstein Castle. Suggestion: to arrive early in the morning to the ticket office to avoid to wait longer in line.","Level 3 Contributor","1 Helpful vote"
"BenGenn","ui_bubble_rating bubble_50","Date of experience: January 2018","There are not the words to describe the beauty of this castle, an unforgettable place, the memories of which will stay with me the rest of my life. Do not miss this!","Level 6 Contributor","92 Helpful votes"
"Limam2015","ui_bubble_rating bubble_50","Date of experience: November 2018","I did a day trip here from Munich. We were lucky we went at this time of year because sometimes the bridge opposite the castle can be closed due to weather or maintenance. It was amazing to stand on the bridge and see the castle...More","Level 2 Contributor","9 Helpful votes"
"Owen W","ui_bubble_rating bubble_50","Date of experience: June 2018","Has to be seen to be belived,floats in the sky. good parking for cars and buses, travelled there on a motorbike.june 2017.","Level 2 Contributor","2 Helpful votes"
"CommonGroundTraveler","ui_bubble_rating bubble_50","Date of experience: November 2018","We spent the night in Fussen before visiting Neuschwanstein and I recommend doing the same. This way you can get to the castle before the crowds arrive from Munich. Make sure you book your ticket time ahead of time online as soon as you know...More","Level 6 Contributor","37 Helpful votes"
"tennfan07","ui_bubble_rating bubble_50","Date of experience: December 2018","Our first visit to the Neuschwanstein Castle we eventful. We drove to the parking lot, gave them 6 euro to park, then since we already prepurchased our tickets, we decided to walk up (about a mile) to the castle. You could ride a horse drawn...More","Level 3 Contributor","3 Helpful votes"
"izzylondoner","ui_bubble_rating bubble_40","Date of experience: December 2018","Easy to get to from Munich (we used the Bayern ticket - cheap and easy). Check the train times for the journey back when you arrive at Fussen station (especially whether it’s a direct train or need to change.. its not too problematic changing and...More","Level 2 Contributor","1 Helpful vote"
"Carolina Q","ui_bubble_rating bubble_50","Date of experience: December 2018","Aweson. This tours was amazing the castle was beautiful. But you have to be preaper for walk, It's a long distance. Dani was an excelente guide.","Level 2 Contributor","1 Helpful vote"
"babyn1nja","ui_bubble_rating bubble_50","Date of experience: August 2018","Very beautiful place to hike. There is a bike trail that you can also walk along if you like a steep challenging trail. It took us a good 30 min to get to the bridge but it was worth it. Beautiful and not as scary...More","Level 3 Contributor","1 Helpful vote"
"Eagle525","ui_bubble_rating bubble_30","Date of experience: September 2018","Visiting Neuschwanstein ( NS) Castle has been on To Do List forever ... finally in Sept 2019, I satisfied TDL. We contracted for a private tour of the area of which the castle was one of the stops. Here is what you need to know...More","Level 6 Contributor","33 Helpful votes"
"angad2102","ui_bubble_rating bubble_50","Date of experience: January 2018","Fairytale-like experience. It would be much better if you reserve tickets online and dont depend on getting tickets on site.","Level 6 Contributor","35 Helpful votes"
"chunk2016","ui_bubble_rating bubble_50","Date of experience: December 2018","Visited this place in Dec, with my elderly parents and younger brother. Joined the Grayline tour, departing from Karlstadt, Bahnhofplatz at 830am. Be very punctual as the bus leaves on the dot. We arrived at Hohenschwangau around 1pm. Collected our tickets and went ahead ourselves...More","Level 4 Contributor","8 Helpful votes"
"Cezara M","ui_bubble_rating bubble_50","Date of experience: December 2018","Loved the tour- short, a lot of things to see and fall in love with. The first place I would love and look forward to see in each season. A highlight for this was our tour guide, Julia - nice english accent, humour and voice,...More","Level 1 Contributor","4 Helpful votes"
"jojopeng","ui_bubble_rating bubble_50","Date of experience: November 2018","Female solo traveller. Stayed 2 nights in Fussen. Went to the castle area for 2 continuous days on 29&30 Nov. Took the DB train from Munich Hbf to Fussen, my guesthouse in Fussen gave me a ""Fussen card"" where I can take unlimited bus rides...More","Level 5 Contributor","44 Helpful votes"
"HolidaymakerfromHove","ui_bubble_rating bubble_50","Date of experience: November 2018","Visited the castle in a day trip from Munich at the end of November. Booked through get your guide. Took 2 hours on a coach to get there. The castle is absolutely beautiful. We thoroughly enjoyed our time here. It’s a bit of a hike...More","Level 6 Contributor","36 Helpful votes"
"Robert L","ui_bubble_rating bubble_40","Date of experience: November 2018","The castle is an interesting experience, but not a must see. Getting the tickets in advance is a must, but you need to allow yourself time to get to the castle by either foot or horse drawn carriage (7 euros). Then, you need to be...More","Level 6 Contributor","15 Helpful votes"
"FormerExpat2014","ui_bubble_rating bubble_40","Date of experience: November 2018","Easy to see how this castle could have been the inspiration for the Disney castle in Florida. Easy 30-minute walk up the hill from the base which provides the picture takers a few extra shots. At the top, easy hike back to the foot bridge...More","Level 6 Contributor","49 Helpful votes"
"akiran222","ui_bubble_rating bubble_50","Date of experience: December 2018","Castle Neuschwanstein is the fairytale castle of King Ludwig II of Bavaria. It is a must see if you visit Bavaria. You feel enchanted and taken back centuries when you stand in front of it or even better visit it . The opening times in...More","Level 4 Contributor","8 Helpful votes"
"TRULY_INDIAN","ui_bubble_rating bubble_50","Date of experience: December 2018","Go early . Take the shuttle on the way up provided you are on time. Would strongly advise to visit during off season when you can really enjoy the beauty surrounding the castle. I went in December 1st week when it was a bit cloudy...More","Level 4 Contributor","37 Helpful votes"
"2Travel4Explore","ui_bubble_rating bubble_40","Date of experience: December 2018","So you must see this - it’s fairytale perfect, incredible setting, truly fairytale quality inside and out. BUT - the tour is only 25 minutes inside, and is very ‘herded’. Groups are large, there are lots of stairs, you can take no pictures and you...More","Level 5 Contributor","25 Helpful votes"
"Jessi J","ui_bubble_rating bubble_30","Date of experience: November 2018","The castle is very intricate and worth a visit if you can get there. However, the 3-hour train ride (one-way) and guide for a short walking tour around the small village is not worth it for the 35-minute, scripted tour you get of the castle...More","Level 2 Contributor","1 Helpful vote"
"brugnolc","ui_bubble_rating bubble_30","Date of experience: December 2018","We went with an organised trip, therefore our guide had booked tickets with a timed entrance and audioguides. The walk up to the castle is not that long, less than 20minutes if you are a good walker. Luckily there was neither snow or ice, or...More","Level 4 Contributor","6 Helpful votes"
"AnnaDiomena","ui_bubble_rating bubble_40","Date of experience: January 2018","The castle itself was stunning and beautiful, as well as the nearby Hohenschwangau. The carriages with the horses were also great. But the guided tour was horrible and non professional - our group booked a guide in english, but we got the one in german...More","Level 1 Contributor","6 Helpful votes"
"kalemontenegro","ui_bubble_rating bubble_50","Date of experience: November 2018","This is definitely a visit that will take most of your day. You can take advantage of the other castle in the area so that your time is well spent. There are bus tours from Münich, but we found it easier and cheaper to just...More","Level 3 Contributor","2 Helpful votes"
"sk009","ui_bubble_rating bubble_30","Date of experience: November 2018","The day I went to visit the castle was very cloudy and misty. I could not see even the silhouette from the bridge. I took a guided tour to go inside of the castle. Frankly there is nothing very exciting. Honestly, many reviews and travel...More","Level 6 Contributor","24 Helpful votes"
"Monique140968","ui_bubble_rating bubble_20","Date of experience: November 2018","I was SO disappointed seeing the castle today! Firstly no buses were running and the viewing bridge was closed for maintenance (even though somehow people were getting on there as you could see them!) so you couldn’t get a good view of the castle at...More","Level 6 Contributor","184 Helpful votes"
"Iliana N","ui_bubble_rating bubble_10","Date of experience: November 2018","I can’t even explain how disappointed I am with this experience. I travelled through half the world with my family and friends to visit Neuschwanstein. The guy who sold us the tickets didn’t even speak English, but finally we managed to get along and buy...More","",""
"944catiaf","ui_bubble_rating bubble_50","Date of experience: November 2018","Even on a rainy day the views were breathtaking! Parking for 6 euros all day. Walk uphill to get to the castle with great views.","Level 5 Contributor","10 Helpful votes"
"Jordon H","ui_bubble_rating bubble_40","Date of experience: September 2018","Beautiful castle, especially the master bedroom with the intricately carved bed. This castle was not finished when King Ludwig II was alive. A lot of the castle is being updated and restored. Worth the look, but since the majority of the castle is not finished...More","Level 4 Contributor","11 Helpful votes"
"463scotth","ui_bubble_rating bubble_50","Date of experience: May 2018","This has always been my wife’s favourite castle, it did not disappoint! We were on our honeymoon and this happened to be the 13th anniversary of our first date.","Level 2 Contributor","8 Photos"
"Franco_Reviewer","ui_bubble_rating bubble_50","Date of experience: November 2018","Must see in Bavaria however not sure if it's worth paying the entrance ticket as you are only shown 4 rooms in 15 minutes. You can reach the door of the Castle without paying a cent and take beautiful pictures from there. Be careful of...More","Level 6 Contributor","100 Helpful votes"
"Clarence_Beeks","ui_bubble_rating bubble_50","Date of experience: November 2018","Visited on a Friday. Walked up the hill free of charge. The horse drawn carriage looked slow, overpriced, and no terribly enjoyable for the horses. He shuttle bus was much cheaper but I we opted to walk to enjoy the scenery and fresh air. Our...More","Level 6 Contributor","65 Helpful votes"
"cecil s","ui_bubble_rating bubble_50","Date of experience: October 2018","We recently took the English speaking full day tour, operated by Gray Line Sightseeing Munich and found the experience to be excellent. Our English speaking guide Lucy was great and her knowledge and humour throughout the day was first rate. It was a reasonably early...More","Level 3 Contributor","6 Helpful votes"
"Natalia B","ui_bubble_rating bubble_20","Date of experience: November 2018","We visited this castle today which was organized by Radius Tours. I have nothing but great things to say about Radius; the guide was superb. However, the guide could not take us into the castle interior; only a castle guide can escort you. That was...More","Level 3 Contributor","4 Helpful votes"
"John S","ui_bubble_rating bubble_40","Date of experience: November 2018","Reserve your tickets on-line ahead of time. The days we tried to get were sold out but the ticket center did not communicate that to us. We just tried different dates and then we got confirmation via email. Location of ticket center - it's right...More","Level 6 Contributor","70 Helpful votes"
"kcbarbie","ui_bubble_rating bubble_50","Date of experience: October 2018","You've seen photographs of this castle your entire life. you've heard it was the inspiration for the Disney Castles. Why not visit it up close and in person? It's breathtaking! so unfortunate that we happened to be there while construction was going on, but up...More","Level 6 Contributor","37 Helpful votes"
"D7323MOpatrickl","ui_bubble_rating bubble_50","Date of experience: November 2018","Just simply amazing. We had been during the summer. Weather was beautiful. During the winter it is also a sight to behold! The snow coming down made it all the more magical. I recommend the tours. I also recommend taking the horse and buggy up...More","Level 6 Contributor","18 Helpful votes"
"Sam24112013","ui_bubble_rating bubble_40","Date of experience: October 2018","I just had to see this castle - famous for being the inspiration for Walt Disney's castle. It was just unfortunate that at that time, the front portion was being renovated. But it was a good experience nevertheless, The castle was really picturesque and beautiful....More","Level 6 Contributor","127 Helpful votes"
"Sarah J","ui_bubble_rating bubble_30","Date of experience: June 2018","The castle is beautiful, the environment is enchanting. The views from the bridge are the best part of the visit. I would not pay for the castle tour. It is limited in what you get to see. The outside is much better than inside!","Level 4 Contributor","8 Helpful votes"
"204kylec","ui_bubble_rating bubble_50","Date of experience: April 2018","Picturesque and beautiful. If you have the time and are able, hike up and around the castle. It is worth it. Buy tickets ahead of time and enjoy a tour of the inside.","Level 4 Contributor","8 Helpful votes"
"Karen A","ui_bubble_rating bubble_40","Date of experience: October 2018","Famed for being the inspiration for Walt Disney's Sleeping Beauty Castle, Neuschwanstein does not disappoint! I was a little surprised by how small it was though. But it's location, surrounded by majestic mountains, nestled into the rocks, was simply a fairytale setting. I would suggest...More","Level 4 Contributor","23 Helpful votes"
"hidden-cem34yvr","ui_bubble_rating bubble_20","Date of experience: November 2018","This town is amazing! It has historical and natural beauty together. You can walk around the lake, take wonderful photos, and experience traditional German dishes at reasonable prices compared to Munich! The only downside of this experience was the tour! We waited in the line...More","Level 2 Contributor","5 Helpful votes"
"V6223RFjoels","ui_bubble_rating bubble_50","Date of experience: November 2018","The castle and grounds never fails to impress. We wanted to see it during the fall and what a beautiful site. We always take the horse drawn carriage to the landing area. Well worth the 10.50 euro price for round trip.","Level 4 Contributor","15 Helpful votes"
"mtskygirl","ui_bubble_rating bubble_50","Date of experience: October 2018","We spent the day visiting both castles and must say we enjoyed seeing the inside of Neuschwansteinstraße Castle. It was astounding to hear the history behind all the swans. The tours are organized at different times so pay attention to the sign to see if...More","Level 6 Contributor","36 Helpful votes"
"nicolerH8788LU","ui_bubble_rating bubble_40","Date of experience: November 2018","We checked this castle out on our way from GPK to Munich. It’s stunning, gorgeous, and relatively young in European standards. However, the crowds were nuts. It took away from the charm, might as well go see the castle Disneyland made (inspired from this) and...More","Level 5 Contributor","15 Helpful votes"
"WhatDoesntSuck","ui_bubble_rating bubble_50","Date of experience: September 2018","There are some places in the world which will always be packed with tourists, and at the same time doesn't lessen the experience. The Neischwanstein Castle may be the most famous castle in the world, but no amount of tourists take away from the amazing...More","Level 5 Contributor","123 Helpful votes"
"MelissaScottkk58","ui_bubble_rating bubble_30","Date of experience: October 2018","The pictures are amazing, the castle up close and inside, not so much. This is a huge tourist event. We did not pre-purchase tickets as it was the end of Oct. and we got the last 3 tickets that were available for the day. Up...More","Level 6 Contributor","109 Helpful votes"
"1lorrie2014","ui_bubble_rating bubble_40","Date of experience: October 2018","So beautiful. BUT, it is very congested with tourist. I went in October thinking it wouldn't be that crowed, boy was I wrong. I stayed in the little town right by the 2 castles and thank god I did, otherwise it would have been a...More","Level 3 Contributor","8 Helpful votes"
"schmib5","ui_bubble_rating bubble_10","Date of experience: November 2018","- Shame on you owner of this jewel to organize such an awful visit. - Shame on you crew members who welcome so badly visitors - Shame on you officials of this region who let such a bad image staining on the whole region. We...More","",""